,id,rank,name,position_id,position_name,level
1545,1255,1546,ony,10,fw,1.0
1546,1256,1547,Zinh,30,df,1.0
1547,1512,1548,daniizzz,10,fw,1.0
1548,745,1549,TIGAS,20,mf,1.0
1549,1001,1550,BoaH,20,mf,1.0
1550,1257,1551,Matteo,10,fw,1.0
1551,1513,1552,ddaannna,10,fw,1.0
1552,490,1553,Stevie,10,fw,1.0
1553,746,1554,Xenaps,20,mf,1.0
1554,1002,1555,Treka,30,df,1.0
1555,235,1556,elisa,10,fw,1.0
1556,747,1557,Pedrito,10,fw,1.0
1557,1003,1558,Negao,10,fw,1.0
1558,236,1559,Josh,10,fw,1.0
1559,1004,1560,Godus,10,fw,1.0
1560,1516,1561,EYMENBUGRA,10,fw,1.0
1561,237,1562,Kain,10,fw,1.0
1562,749,1563,lucci,20,mf,1.0
1563,1005,1564,Roks,10,fw,1.0
1564,1517,1565,CRIS,10,fw,1.0
1565,1006,1566,Mndz,20,mf,1.0
1566,1262,1567,brayaao,10,fw,1.0
1567,1518,1568,BumBum,10,fw,1.0
1568,751,1569,Bililiu,10,fw,1.0
1569,1007,1570,qwewqewqe,10,fw,1.0
1570,1263,1571,brayera,10,fw,1.0
1571,1519,1572,floina,20,mf,1.0
1572,240,1573,Shanks,20,mf,1.0
1573,752,1574,Katriel,20,mf,1.0
1574,1008,1575,SANGRAS,10,fw,1.0
1575,1264,1576,Dezsi,10,fw,1.0
1576,1520,1577,Alan,10,fw,1.0
1577,1265,1578,K.Thanakorn,10,fw,1.0
1578,1521,1579,Vkn_KO,30,df,1.0
1579,754,1580,Bulacha,20,mf,1.0
1580,1010,1581,OVVO,10,fw,1.0
